timestamp,tool,target,source,type,properties_json
2026-05-13T09:40:52.153628798Z,gau,https://www.example.com/privacy,gau,discovery,"{""history_url"":""https://www.example.com/privacy""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/thumb.jpg/,gau,discovery,"{""history_url"":""https://example.com/thumb.jpg/""}"
2026-05-13T09:40:52.153628798Z,gau,https://tracking.example.com/TRACK123,gau,discovery,"{""history_url"":""https://tracking.example.com/TRACK123""}"
2026-05-13T09:40:52.153628798Z,gau,http://evil.example.com,gau,discovery,"{""history_url"":""http://evil.example.com""}"
2026-05-13T09:40:52.153628798Z,gau,https://sub.example.com,gau,discovery,"{""history_url"":""https://sub.example.com""}"
2026-05-13T09:40:52.153628798Z,gau,https://auth.example.com/application/o/qbitrr,gau,discovery,"{""history_url"":""https://auth.example.com/application/o/qbitrr""}"
2026-05-13T09:40:52.153628798Z,gau,http://example.com/main/search/test,gau,discovery,"{""history_url"":""http://example.com/main/search/test""}"
2026-05-13T09:40:52.153628798Z,gau,https://requestor.example.com/webhooks/site-processing,gau,discovery,"{""history_url"":""https://requestor.example.com/webhooks/site-processing""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/project,gau,discovery,"{""history_url"":""https://example.com/project""}"
2026-05-13T09:40:52.153628798Z,gau,https://www.example.com/index.html,gau,discovery,"{""history_url"":""https://www.example.com/index.html""}"
2026-05-13T09:40:52.153628798Z,gau,https://your-api.example.com/upload,gau,discovery,"{""history_url"":""https://your-api.example.com/upload""}"
2026-05-13T09:40:52.153628798Z,gau,https://www.example.com/wbo,gau,discovery,"{""history_url"":""https://www.example.com/wbo""}"
2026-05-13T09:40:52.153628798Z,gau,https://en.example.com/,gau,discovery,"{""history_url"":""https://en.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://blog.example.com/,gau,discovery,"{""history_url"":""https://blog.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://mytool.example.com/ingest,gau,discovery,"{""history_url"":""https://mytool.example.com/ingest""}"
2026-05-13T09:40:52.153628798Z,gau,https://my-webhook.example.com/wafpass,gau,discovery,"{""history_url"":""https://my-webhook.example.com/wafpass""}"
2026-05-13T09:40:52.153628798Z,gau,https://wafpass.example.com,gau,discovery,"{""history_url"":""https://wafpass.example.com""}"
2026-05-13T09:40:52.153628798Z,gau,https://proxy.example.com/v1/messages,gau,discovery,"{""history_url"":""https://proxy.example.com/v1/messages""}"
2026-05-13T09:40:52.153628798Z,gau,https://ai.example.com/v1/chat/completions,gau,discovery,"{""history_url"":""https://ai.example.com/v1/chat/completions""}"
2026-05-13T09:40:52.153628798Z,gau,http://www.example.com/index.php,gau,discovery,"{""history_url"":""http://www.example.com/index.php""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/3ds-return,gau,discovery,"{""history_url"":""https://example.com/3ds-return""}"
2026-05-13T09:40:52.153628798Z,gau,http://www.example.com/stroka1/stroka2,gau,discovery,"{""history_url"":""http://www.example.com/stroka1/stroka2""}"
2026-05-13T09:40:52.153628798Z,gau,https://cdn.example.com/nps/widget.js,gau,discovery,"{""history_url"":""https://cdn.example.com/nps/widget.js""}"
2026-05-13T09:40:52.153628798Z,gau,https://cdn.example.com/nps/widget-loader.js,gau,discovery,"{""history_url"":""https://cdn.example.com/nps/widget-loader.js""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/backup-image.svg,gau,discovery,"{""history_url"":""https://example.com/backup-image.svg""}"
2026-05-13T09:40:52.153628798Z,gau,https://example.com/all,gau,discovery,"{""history_url"":""https://example.com/all""}"
2026-05-13T09:40:52.153628798Z,gau,https://dev.idp.example.com/,gau,discovery,"{""history_url"":""https://dev.idp.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://prod.idp.example.com/,gau,discovery,"{""history_url"":""https://prod.idp.example.com/""}"
2026-05-13T09:40:52.153628798Z,gau,https://evil.example.com/script.sh,gau,discovery,"{""history_url"":""https://evil.example.com/script.sh""}"
2026-05-13T09:40:52.153628798Z,gau,https://pidash.example.com/,gau,discovery,"{""history_url"":""https://pidash.example.com/""}"
